id,type,text1,text2,text3,text4,notes
ELYS_Crepuscole,SHIP,"A specialized carrier destroyer with multiple biologically-formed fighter bays. The living hull has evolved chambers that nurture and launch specialized drone fighters. The ship features a distinctive asymmetrical design with one side developed into enhanced launch facilities.","Named after the twilight period when Elysium's home worlds experience unique atmospheric phenomena, the Crepuscole-class was developed to extend the fleet's tactical options. The vessel's fighter bays are actually specialized reproductive chambers that grow and sustain semi-autonomous fighter organisms, each sharing a telepathic bond with the carrier's nervous system.",,,

ELYS_Perennion,SHIP,"A heavy destroyer built around a reinforced central spine that houses its primary weapon systems. The unusually thick living armor features layered growth patterns that provide exceptional protection. The ship sacrifices some speed for significantly enhanced firepower and durability.","The Perennion represents Elysium's acknowledgment that some engagements require overwhelming force rather than finesse. These vessels undergo an extended cultivation process, with their hulls grown in high-pressure environments to create denser, more resilient structures. The resulting ships serve as the anvil against which Elysium's enemies are broken.",,,

# Ships - Cruisers

ELYS_Solstice,SHIP,"An assault cruiser featuring an aggressive, forward-sweeping design with multiple energy weapon mounts integrated along its hull. The ship's living armor displays a distinctive pattern of luminescent veins that pulse with energy during combat, indicating its advanced power distribution network.","The Solstice-class emerged during Elysium's first major territorial expansion, embodying their philosophy of overwhelming force applied with precision. The ship's living hull has evolved specialized conduits that channel energy with minimal dissipation, allowing for sustained weapon fire that few opposing vessels can match. Fleet commanders often position these ships at the vanguard of assaults against heavily defended targets.",,,

ELYS_Twilight,SHIP,"A carrier cruiser with an elegant design that incorporates multiple biologically-formed launch bays. The ship's living armor has developed specialized chambers that nurture and deploy fighter craft, while maintaining a significant combat capability of its own.","Developed to address the need for flexible fleet compositions, the Twilight-class represents the successful integration of carrier capabilities within the Elysium combat doctrine. The ship's fighter bays are not mere mechanical launchers but specialized growth chambers where semi-autonomous fighter organisms are cultivated and sustained, maintaining a symbiotic relationship with the carrier vessel.",,,

ELYS_Sempitern,SHIP,"A siege cruiser featuring numerous specialized weapon mounts and reinforced armor sections. The ship's silhouette is dominated by 4 massive missile mounts. The living hull has adapted to channel and contain the immense energies generated.","The Sempitern embodies Elysium's approach to siege warfare: methodical, overwhelming, and inevitable. These vessels undergo an extended cultivation process where their hulls are exposed to extreme energy patterns, creating organic structures capable of channeling destructive forces that would destroy conventional materials. Their presence in a fleet signals Elysium's intent to overcome any obstacle, regardless of the time required.",,,

# Ships - Capital Ships

ELYS_Aetherion,SHIP,"A majestic support battleship with wing-like lateral modules that house advanced repair and combat systems. The vessel's living hull displays complex, symmetrical patterns that enhance its energy projection capabilities while providing exceptional regenerative properties.","The Aetherion-class represents one of the highest achievements of Elysium bioconstruction, with each vessel requiring decades to fully cultivate. The ship's wing modules develop as semi-autonomous organisms that maintain a symbiotic relationship with the central hull, creating a vessel that functions more as a collective entity than a single ship. Fleet commanders value these rare vessels for their ability to sustain allied ships through extended confrontations.",,,

ELYS_CometStrike,SHIP,"A missile battleship featuring multiple launch tubes and specialized targeting arrays integrated into its living hull. The distinctive forward section houses concentrated missile batteries capable of overwhelming enemy point defense systems through sheer volume of fire.","The CometStrike evolved as Elysium's answer to heavily shielded enemy vessels that could withstand their energy weapons. The ship's living armor has developed specialized chambers that nurture and launch semi-organic projectiles, each containing a fragment of crystal attuned to shield frequencies. Elysium fleet commanders deploy these vessels when facing enemies who rely heavily on defensive technologies.",,,

ELYS_Emberfang,SHIP,"A beam battleship dominated by massive energy weapon mounts that extend from its living hull like fangs or claws. The vessel's organic structure has evolved to channel enormous energy flows, sacrificing some defensive capabilities for unparalleled offensive power.","The Emberfang represents the purest expression of Elysium's offensive doctrine. Its living hull is cultivated with rare crystalline formations that amplify and focus energy with extraordinary efficiency. The cultivation process is so demanding that few shipyards can sustain it, making each Emberfang a valuable strategic asset that fleet commanders deploy only when absolute destruction is required.",,,

ELYS_Necrothauma,SHIP,"A heavy battleship with an imposing silhouette marked by sharp, angular protrusions. The vessel's living hull has developed specialized structures to contain and channel void energies, allowing it to create singularities that disrupt enemy formations and provide tactical advantages.","The Necrothauma-class emerged from Elysium's darkest research facilities, where bioscientists explored the boundaries between organic matter and void energies. The resulting vessels channel forces that strain the fabric of reality itself, requiring specially evolved containment structures within their living hulls. Their presence on the battlefield often breaks enemy morale before a single weapon is fired.",,,

ELYS_Woodslaught,SHIP,"A massive dreadnought featuring an organic design reminiscent of interwoven branches and roots. The vessel's living hull has evolved exceptional thickness and redundancy, creating an almost impenetrable fortress that houses formidable offensive capabilities.","The Woodslaught stands as the ultimate expression of Elysium's biological engineering, with each vessel requiring a full century to cultivate to maturity. Their living hulls incorporate multiple redundant systems and self-sustaining repair mechanisms that can regenerate even catastrophic damage given sufficient time. These rare vessels take inspiration from the famous onslaught class.",,,

ELYS_aeternum,SHIP,"The pinnacle of Elysium shipbuilding, this modular battleship features a central command structure surrounded by specialized combat modules. The vessel's living hull displays advanced integration capabilities, allowing it to function as a unified organism despite its segmented construction.","The Aeternum class represents the culmination of Elysium's biological engineering, combining specialized combat modules with a central coordination nervous system of unprecedented complexity. Each module maintains a symbiotic relationship with the core vessel while retaining partial autonomy, creating a ship that can adapt to changing battle conditions with near-sentient responsiveness. These legendary vessels are so rare and valued that their deployment requires authorization from the highest levels of Elysium leadership.",,,

# Modules

ELYS_Aetherion_wing_left,SHIP,"The port wing module of the Aetherion battleship, featuring specialized energy projection systems and reinforced living armor. The module maintains a symbiotic relationship with the central hull while functioning semi-autonomously in combat.","Cultivated alongside the main hull, the wing modules of Aetherion-class vessels develop specialized neural pathways that maintain constant communication with the central ship's consciousness. This allows for coordinated action without requiring direct control, significantly enhancing the vessel's tactical flexibility.",,,

ELYS_Aetherion_wing_right,SHIP,"The starboard wing module of the Aetherion battleship, featuring specialized energy projection systems and reinforced living armor. The module maintains a symbiotic relationship with the central hull while functioning semi-autonomously in combat.","Cultivated alongside the main hull, the wing modules of Aetherion-class vessels develop specialized neural pathways that maintain constant communication with the central ship's consciousness. This allows for coordinated action without requiring direct control, significantly enhancing the vessel's tactical flexibility.",,,

ELYS_aeternum_left_artillery,SHIP,"A specialized artillery module attached to the Aeternum battleship, featuring heavy energy weapon emplacements. The module's living hull has developed enhanced power conduits to support its formidable armament.","The artillery modules of Aeternum-class vessels are cultivated in specialized growth chambers that expose them to intense energy patterns, creating biological structures capable of channeling destructive forces that would destroy conventional materials. Their neural integration with the main vessel allows for precision targeting beyond what isolated systems could achieve.",,,

ELYS_aeternum_left_armor,SHIP,"A dedicated defense module attached to the Aeternum battleship, featuring exceptionally thick living armor with enhanced regenerative properties. The module serves primarily as a protective barrier for more vulnerable sections of the main vessel.","The armor modules of Aeternum-class vessels are grown under extreme pressure conditions, creating biological structures of unprecedented density and resilience. Their regenerative systems operate at accelerated rates compared to standard Elysium hulls, allowing them to absorb and recover from damage that would cripple other vessels.",,,

ELYS_aeternum_left_frontal,SHIP,"The port spearhead module of the Aeternum battleship, featuring a reinforced prow designed for both offensive ramming and housing forward weapon systems. The module's living hull displays specialized reinforcement patterns optimized for frontal assault.","The spearhead modules of Aeternum-class vessels incorporate minerals harvested from the densest asteroid fields, creating a semi-crystalline matrix of extraordinary strength. Their neural pathways are cultivated to prioritize aggressive action, sometimes operating more proactively than the main vessel's consciousness might prefer.",,,

ELYS_aeternum_right_artillery,SHIP,"A specialized artillery module attached to the Aeternum battleship, featuring heavy energy weapon emplacements. The module's living hull has developed enhanced power conduits to support its formidable armament.","The artillery modules of Aeternum-class vessels are cultivated in specialized growth chambers that expose them to intense energy patterns, creating biological structures capable of channeling destructive forces that would destroy conventional materials. Their neural integration with the main vessel allows for precision targeting beyond what isolated systems could achieve.",,,

ELYS_aeternum_right_armor,SHIP,"A dedicated defense module attached to the Aeternum battleship, featuring exceptionally thick living armor with enhanced regenerative properties. The module serves primarily as a protective barrier for more vulnerable sections of the main vessel.","The armor modules of Aeternum-class vessels are grown under extreme pressure conditions, creating biological structures of unprecedented density and resilience. Their regenerative systems operate at accelerated rates compared to standard Elysium hulls, allowing them to absorb and recover from damage that would cripple other vessels.",,,

ELYS_aeternum_right_frontal,SHIP,"The starboard spearhead module of the Aeternum battleship, featuring a reinforced prow designed for housing forward weapon systems. The module's living hull displays specialized reinforcement patterns optimized for frontal assault.","The spearhead modules of Aeternum-class vessels incorporate minerals harvested from the densest asteroid fields, creating a semi-crystalline matrix of extraordinary strength. Their neural pathways are cultivated to prioritize aggressive action, sometimes operating more proactively than the main vessel might prefer.",,,

# Fighters and Drones

ELYS_wing_chrono,SHIP,"A specialized drone that moves at extraordinary speeds. The small craft's living structure has been optimized for rapid energy cycling, sacrificing durability for unmatched mobility.","Chrono Drones represent a successful miniaturization of Elysium's temporal manipulation technology. These semi-autonomous organisms are cultivated with accelerated metabolic systems that experience time differently than conventional matter, allowing them to react and maneuver with preternatural speed. Their limited lifespan is considered an acceptable tradeoff for their tactical advantages.",,,

ELYS_wing_comet,SHIP,"A strike fighter equipped with miniaturized versions of Elysium's signature energy weapons. The craft features a streamlined design with forward-swept structures reminiscent of a comet's tail, enhancing its maneuverability during attack runs.","Comet Fighters are grown rather than built, each cultivated from specialized cellular structures that develop into semi-autonomous combat organisms. Their neural systems maintain a telepathic connection to their carrier vessel, allowing for coordination that transcends conventional communication limitations. These fighters excel at precision strikes against key target systems.",,,

ELYS_wing_stasis,SHIP,"A support drone. The craft's will be creating momentary vulnerabilities for allied forces to exploit.","Stasis Drones contain a variant of living tissue that naturally generates counterharmonic energy fields. When directed against enemy vessels, these fields create microscopic temporal distortions that disrupt system operations and crew coordination. Though incapable of causing significant damage directly, these drones create openings that determine the outcome of engagements.",,,

ELYS_wing_trail,SHIP,"A heavy fighter featuring reinforced living armor and enhanced weapon systems. The craft's organic structure has been cultivated to prioritize combat effectiveness over lifespan, resulting in a powerful but maintenance-intensive attack platform.","Trail Fighters represent a more conventional approach to fighter design within Elysium's biological engineering paradigm. Their living structures incorporate denser materials and enhanced weapon integration, creating organisms optimized for direct combat rather than specialized roles. Elite Elysium carriers often deploy these fighters as the core of their strike groups, supported by more specialized craft.",,,

# Main Planets
planet_elysium_prime,CUSTOM,"The ancestral homeworld of the Elysium faction, featuring vibrant forests and crystalline spires rising through an emerald canopy. The planet's advanced biofabrication facilities produce the living hull material used in Elysium ship construction.",,,,

planet_emberforge,CUSTOM,"A volcanic world whose magma flows are harvested for rare minerals critical to Elysium's advanced weaponry. Massive heat-resistant factories orbit the molten surface, while armored mining facilities tap into the planet's fiery heart.",,,,

planet_tidesong,CUSTOM,"An oceanic world whose vast, bioluminescent seas support massive underwater forests. The native aquatic flora produces compounds essential for Elysium's living ship cultivation process. Floating cities connected by crystalline bridges span the planet's tropical archipelagos.",,,,

# Other Celestial Bodies
planet_sylvanshroud,CUSTOM,"A verdant gas giant with emerald and azure cloud formations that swirl in mesmerizing patterns. The planet's upper atmosphere harbors unique energy-absorbing microorganisms studied by Elysium's bioengineers.",,,,

planet_mistwalker,CUSTOM,"A small barren moon orbiting Sylvanshroud, covered in fine crystalline dust that floats eerily in the low gravity. Ancient ruins hint at previous exploration or settlement.",,,,

planet_frostrim,CUSTOM,"A frozen world at the system's edge, encased in translucent ice that glows with faint blue luminescence. Deep beneath the ice lie dormant biological specimens preserved by Elysium for future research.",,,,

# Darkweave System

# Main Planets
planet_greenhold,CUSTOM,"An unexpected paradise orbiting a black hole, thriving within a carefully maintained bubble of artificial sunlight. The planet serves as Elysium's secondary capital and primary agricultural center, its bioadaptive plants creating a lush haven in the void.",,,,

planet_thaumaspire,CUSTOM,"A volcanic forge world where Elysium harnesses unique gravitational energies from the nearby black hole to create exotic alloys for their most advanced ships. The surface is covered with specialized factories and research facilities built into volcanic caldera.",,,,

planet_shadowveil,CUSTOM,"A massive gas giant with swirling violet and indigo clouds that trap and process radiation from the black hole into energy-rich compounds harvested by automated facilities.",,,,

planet_whisperhold,CUSTOM,"A small, heavily bombarded world that orbits perilously close to the black hole. Its surface is scarred with impact craters that glow with eerie blue light, believed to be caused by temporal anomalies.",,,,

planet_luminarch,CUSTOM,"An ice giant at the system's outer reaches, its frozen atmosphere reflects the void's darkness and the distant starlight in shifting patterns of crystalline beauty.",,,,

planet_ebontide,CUSTOM,"A barren moon of Luminarch bearing the scattered ruins of an unknown civilization. Elysium research teams have established outposts to study the ancient technology left behind.",,,,

# Voids Eye (Black Hole)
star_voids_eye,CUSTOM,"The supermassive black hole at the center of the Darkweave system, named for the ring of accretion material that gives it the appearance of a vast, watching eye. Elysium has harnessed its unique properties to power experimental temporal technology.",,,,
